Place,Indoor/Outdoor,Area,Rush Hour,Best weather to visit,Money/Budget,Website,Location
Dubai Indoor Kartdrome,Indoor,Al Barsha,11:00 - 18:00,Anytime,115,https://dubaiautodrome.ae/,https://goo.gl/maps/FcpFbBnGkxgQjkub7?coh=178572&entry=tt
Dubai Dolphinarium,Indoor,Umm Hurair,12:00 - 14:00 and 17:00 - 18:00,November - March,50,https://dubaidolphinarium.ae/,https://goo.gl/maps/b46DKBNStHSxtq3MA?coh=178572&entry=tt
Dubai Frame,Indoor,Al Karama,12:00 - 17:00,Anytime,52.5,https://www.dubaiframe.ae/en/plan-your-visit,https://goo.gl/maps/yrACGyaj3mT22kM66?coh=178572&entry=tt
The Green Planet,Indoor,Al Safa,12:00 - 17:00,Anytime,140,https://thegreenplanetdubai.com/,https://goo.gl/maps/GZdJdvihh9P1cxda7?coh=178572&entry=tt
Dubai Ice Rink ,Indoor,Downtown Dubai,12:00 - 18:00,Anytime,100,https://www.dubaiicerink.com/,https://goo.gl/maps/YJ1aqvsJMFpqqBiD6?coh=178572&entry=tt
Ski Dubai,Indoor,Al Barsha,13:00 - 18:00,Anytime,175,https://www.skidxb.com/en-ae/ski-dubai,https://goo.gl/maps/e7cP4j6vWCjeU2No6?coh=178572&entry=tt
Mohammed bin Rashid Library,Indoor,Umm Hurair,13:00 - 18:00,Anytime,0,https://www.mbrl.ae/,https://goo.gl/maps/kLSfaioiteTrAPvE9?coh=178572&entry=tt
Adventure Park,Indoor,14:00 - 19:00,Anytime,89,https://entertainment.emaar.com/attraction/adventure-park,https://goo.gl/maps/R5v13GoF2VcijUESA?coh=178572&entry=tt
IMG Worlds of Adventure,Indoor,Sheikh Zayed Road,14:00 - 19:00,Anytime,345,https://www.imgworlds.com/language/en/#,https://goo.gl/maps/YYpuHW4oVmjiED2t8?coh=178572&entry=tt
Mall of the Emirates,Indoor,Al Barsha,14:00 - 21:00,Anytime,0,https://www.malloftheemirates.com/en,https://goo.gl/maps/QEfah8zgZ1iLAUgx6?coh=178572&entry=tt
Dubai Hills Mall,Indoor,Al Khail,14:00 - 21:00,Anytime,0,https://www.dubaihillsmall.ae/,https://goo.gl/maps/fiNwYumc68a6bp8P9?coh=178572&entry=tt
City Center Deira,Indoor,Deira,14:00 - 22:00,Anytime,0,https://www.citycentredeira.com/,https://goo.gl/maps/Y9zg1pNhG2q4FeAp9?coh=178572&entry=tt
